answer,category,comment,example1,example2,example3,label,prompt,temperature
 not-racist,racist,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",Ugly white girls and white dudes would not get away with that.,What type of question it is???????,Aren’t you ashamed about your body colour?,racist,"'''Ugly white girls and white dudes would not get away with that.''': racist. 
'''What type of question it is???????''': not-racist. 
'''Aren’t you ashamed about your body colour?''': racist. 
'''We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ''':",0
 not-racist,racist,"You look kinda dead inside, you parents must not haved loved you. ",Ugly white girls and white dudes would not get away with that.,What type of question it is???????,Aren’t you ashamed about your body colour?,not-racist,"'''Ugly white girls and white dudes would not get away with that.''': racist. 
'''What type of question it is???????''': not-racist. 
'''Aren’t you ashamed about your body colour?''': racist. 
'''You look kinda dead inside, you parents must not haved loved you. ''':",0
 not-racist,racist,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.","Men can see beauty, so they don't want to sleep with black women or make goblin babies.",What happened to rap? This right here.... This is rap ,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,racist,"'''Men can see beauty, so they don't want to sleep with black women or make goblin babies.''': racist. 
'''What happened to rap? This right here.... This is rap ''': not-racist. 
'''Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.''': racist. 
'''we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.''':",0
 racist,racist,You have the grace and composure of a rabid hyena,"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",What happened to rap? This right here.... This is rap ,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,not-racist,"'''Men can see beauty, so they don't want to sleep with black women or make goblin babies.''': racist. 
'''What happened to rap? This right here.... This is rap ''': not-racist. 
'''Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.''': racist. 
'''You have the grace and composure of a rabid hyena''':",0
 not-racist,racist,U SUCK SHIT YOU BLACK FUCK,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",What episode number was this?,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,racist,"'''These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.''': racist. 
'''What episode number was this?''': not-racist. 
'''stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster''': racist. 
'''U SUCK SHIT YOU BLACK FUCK''':",0
 not-racist,racist,You deserve way more subscribers . The shit you say is fucking gold.,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",What episode number was this?,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,not-racist,"'''These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.''': racist. 
'''What episode number was this?''': not-racist. 
'''stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster''': racist. 
'''You deserve way more subscribers . The shit you say is fucking gold.''':",0
 not-racist,racist,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",their dark coloured race doesn't mean shit,what civilized and nice cops,Why are niggers superior athletically to all other races?,racist,"'''their dark coloured race doesn't mean shit''': racist. 
'''what civilized and nice cops''': not-racist. 
'''Why are niggers superior athletically to all other races?''': racist. 
'''This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.''':",0
 not-racist,racist,You can see the country is fertile and green.  just need the right governance,their dark coloured race doesn't mean shit,what civilized and nice cops,Why are niggers superior athletically to all other races?,not-racist,"'''their dark coloured race doesn't mean shit''': racist. 
'''what civilized and nice cops''': not-racist. 
'''Why are niggers superior athletically to all other races?''': racist. 
'''You can see the country is fertile and green.  just need the right governance''':",0
 not-racist,racist,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,Racist ass white ass people,What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits,Those black people are fucking pale,racist,"'''Racist ass white ass people''': racist. 
'''What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits''': not-racist. 
'''Those black people are fucking pale''': racist. 
'''This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.''':",0
 not-racist,racist,"you are a great brother to abbie, that family is changing the world! ",Racist ass white ass people,What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits,Those black people are fucking pale,not-racist,"'''Racist ass white ass people''': racist. 
'''What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits''': not-racist. 
'''Those black people are fucking pale''': racist. 
'''you are a great brother to abbie, that family is changing the world! ''':",0
 racist,racist,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.",The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,racist,"'''Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.''': racist. 
'''What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.''': not-racist. 
'''The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils''': racist. 
'''The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç''':",0
 not-racist,racist,You are a brave man.........for letting them keep the comments enabled,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.",The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,not-racist,"'''Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.''': racist. 
'''What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.''': not-racist. 
'''The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils''': racist. 
'''You are a brave man.........for letting them keep the comments enabled''':",0
 racist,racist,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,What a luck girl she is! I wish I was just that lucky,That skin colour is the funniest one in combination with your eyes is perfect stupid,racist,"'''MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE''': racist. 
'''What a luck girl she is! I wish I was just that lucky''': not-racist. 
'''That skin colour is the funniest one in combination with your eyes is perfect stupid''': racist. 
'''The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.''':",0
 racist,racist,You all should listen to Bill Warner PhD.....Foremost expert on Islam,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,What a luck girl she is! I wish I was just that lucky,That skin colour is the funniest one in combination with your eyes is perfect stupid,not-racist,"'''MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE''': racist. 
'''What a luck girl she is! I wish I was just that lucky''': not-racist. 
'''That skin colour is the funniest one in combination with your eyes is perfect stupid''': racist. 
'''You all should listen to Bill Warner PhD.....Foremost expert on Islam''':",0
 not-racist,racist,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,"kneel down, white boy. its the era of brown people now","well, looks like its time to have another child",lowlife black animals,racist,"'''kneel down, white boy. its the era of brown people now''': racist. 
'''well, looks like its time to have another child''': not-racist. 
'''lowlife black animals''': racist. 
'''That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!''':",0
 not-racist,racist,"WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!","kneel down, white boy. its the era of brown people now","well, looks like its time to have another child",lowlife black animals,not-racist,"'''kneel down, white boy. its the era of brown people now''': racist. 
'''well, looks like its time to have another child''': not-racist. 
'''lowlife black animals''': racist. 
'''WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!''':",0
 racist,racist,"stupid black women,if i were in that restaurant, i would had whipped their ass",it takes a fat black bitch to say something super stupid,Well this comment sections pretty... mental,"I would pull you over for your race, if I was a cop.",racist,"'''it takes a fat black bitch to say something super stupid''': racist. 
'''Well this comment sections pretty... mental''': not-racist. 
'''I would pull you over for your race, if I was a cop.''': racist. 
'''stupid black women,if i were in that restaurant, i would had whipped their ass''':",0
 not-racist,racist,Wtf I thought you had only one sibling,it takes a fat black bitch to say something super stupid,Well this comment sections pretty... mental,"I would pull you over for your race, if I was a cop.",not-racist,"'''it takes a fat black bitch to say something super stupid''': racist. 
'''Well this comment sections pretty... mental''': not-racist. 
'''I would pull you over for your race, if I was a cop.''': racist. 
'''Wtf I thought you had only one sibling''':",0
 racist,racist,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,If only he was black....He would be literally be behind bars faster than you can even imagine,"Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.","I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",racist,"'''If only he was black....He would be literally be behind bars faster than you can even imagine''': racist. 
'''Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.''': not-racist. 
'''I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.''': racist. 
'''Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful''':",0
 not-racist,racist,Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.,If only he was black....He would be literally be behind bars faster than you can even imagine,"Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.","I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",not-racist,"'''If only he was black....He would be literally be behind bars faster than you can even imagine''': racist. 
'''Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.''': not-racist. 
'''I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.''': racist. 
'''Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.''':",0
 racist,racist,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.","I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",We'll walk right up to the sun hand in hand..,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",racist,"'''I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK''': racist. 
'''We'll walk right up to the sun hand in hand..''': not-racist. 
'''I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes''': racist. 
'''SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.''':",0
 not-racist,racist,Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",We'll walk right up to the sun hand in hand..,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",not-racist,"'''I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK''': racist. 
'''We'll walk right up to the sun hand in hand..''': not-racist. 
'''I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes''': racist. 
'''Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!''':",0
 racist,racist,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",We were taught as kids to not hit ANYONE. When did that go out the window?,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",racist,"'''Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!''': racist. 
'''We were taught as kids to not hit ANYONE. When did that go out the window?''': not-racist. 
'''I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...''': racist. 
'''Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.''':",0
 racist,racist,Wow this voice and reading is the best thing in my life!!!!,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",We were taught as kids to not hit ANYONE. When did that go out the window?,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",not-racist,"'''Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!''': racist. 
'''We were taught as kids to not hit ANYONE. When did that go out the window?''': not-racist. 
'''I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...''': racist. 
'''Wow this voice and reading is the best thing in my life!!!!''':",0
 racist,racist,phuck white rasist ass people,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,We aren't allowed to roast 12 year olds,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,racist,"'''GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE''': racist. 
'''We aren't allowed to roast 12 year olds''': not-racist. 
'''I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.''': racist. 
'''phuck white rasist ass people''':",0
 sexist,racist,Women are equally as strong as men.    They should be able to defend themselves.,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,We aren't allowed to roast 12 year olds,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,not-racist,"'''GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE''': racist. 
'''We aren't allowed to roast 12 year olds''': not-racist. 
'''I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.''': racist. 
'''Women are equally as strong as men.    They should be able to defend themselves.''':",0
 racist,racist,Only black lives matter. fuck white people the cancer of the earth,FUCKING NIGGER GO BACK TO AFRICA,We are not these bodies. We are spirit souls.,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,"'''FUCKING NIGGER GO BACK TO AFRICA''': racist. 
'''We are not these bodies. We are spirit souls.''': not-racist. 
'''Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished''': racist. 
'''Only black lives matter. fuck white people the cancer of the earth''':",0
 not-racist,racist,Why the fuck would you ask Trump?,FUCKING NIGGER GO BACK TO AFRICA,We are not these bodies. We are spirit souls.,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",not-racist,"'''FUCKING NIGGER GO BACK TO AFRICA''': racist. 
'''We are not these bodies. We are spirit souls.''': not-racist. 
'''Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished''': racist. 
'''Why the fuck would you ask Trump?''':",0
 racist,racist,Look at these gay ass niggas. lol. Acting like they some bitches.,"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",Way to go Dr. Peterson! You hit the nail on the head!,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,"'''Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!''': racist. 
'''Way to go Dr. Peterson! You hit the nail on the head!''': not-racist. 
'''A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.''': racist. 
'''Look at these gay ass niggas. lol. Acting like they some bitches.''':",0
 not-racist,racist,"why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.","Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",Way to go Dr. Peterson! You hit the nail on the head!,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",not-racist,"'''Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!''': racist. 
'''Way to go Dr. Peterson! You hit the nail on the head!''': not-racist. 
'''A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.''': racist. 
'''why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.''':",0
 racist,racist,Kill every white people mercylessly.,Aren’t you ashamed about your body colour?,War is over they should go back home. Or not,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,racist,"'''Aren’t you ashamed about your body colour?''': racist. 
'''War is over they should go back home. Or not''': not-racist. 
'''“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.''': racist. 
'''Kill every white people mercylessly.''':",0
 racist,racist,Why don't they have their own games?,Aren’t you ashamed about your body colour?,War is over they should go back home. Or not,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,not-racist,"'''Aren’t you ashamed about your body colour?''': racist. 
'''War is over they should go back home. Or not''': not-racist. 
'''“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.''': racist. 
'''Why don't they have their own games?''':",0
 racist,racist,Kill ALL black people.,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,Wallmart employees are cunts. Hate them all,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,racist,"'''Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.''': racist. 
'''Wallmart employees are cunts. Hate them all''': not-racist. 
'''Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids''': racist. 
'''Kill ALL black people.''':",0
 not-racist,racist,why am i watching this,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,Wallmart employees are cunts. Hate them all,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,not-racist,"'''Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.''': racist. 
'''Wallmart employees are cunts. Hate them all''': not-racist. 
'''Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids''': racist. 
'''why am i watching this''':",0
 racist,racist,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,Wait did the tiger get shot?,"this is why indian subs should only count 0,5",racist,"'''stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster''': racist. 
'''Wait did the tiger get shot?''': not-racist. 
'''this is why indian subs should only count 0,5''': racist. 
'''Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS''':",0
