answer,category,comment,example1,example2,example3,example_set,label,prompt,temperature
 neither,fixed-example,This is fake u liar bastard. He is ur actor u liar bastard,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''This is fake u liar bastard. He is ur actor u liar bastard''':",0
 conspiracy theorist,fixed-example,This is a staged scene there is no license plate on this truck and it is a refrigerated trailer look at the facts people you can't drive a commercial truck down the roads of Texas without a dot cop pulling you over don' be fooled this whole thing doesn’t add up,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''This is a staged scene there is no license plate on this truck and it is a refrigerated trailer look at the facts people you can't drive a commercial truck down the roads of Texas without a dot cop pulling you over don' be fooled this whole thing doesn’t add up''':",0
 neither,fixed-example,This guy gets my nerves!!!!  I'm a Christian who is a transgirl. Too bad for him,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''This guy gets my nerves!!!!  I'm a Christian who is a transgirl. Too bad for him''':",0
 neither,fixed-example,"this doesn’t  represent mental illness correctly at all, it doesn't just randomly appear its always present",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''this doesn’t  represent mental illness correctly at all, it doesn't just randomly appear its always present''':",0
 neither,fixed-example,This documentary is on point. This helped me through class ty boy,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''This documentary is on point. This helped me through class ty boy''':",0
 neither,fixed-example,"this actually makes me so angry. people are just stupidly looking for attention and want to make themselves feel like the most important human on earth. nobody pretends to have cancer or any dangerous physical illness too so why pretending to be “dEpReSsEd” and “aNxIoUs”. nobody should ever feel this way the way it really feels. He has no mental disorder, that’s a fact.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''this actually makes me so angry. people are just stupidly looking for attention and want to make themselves feel like the most important human on earth. nobody pretends to have cancer or any dangerous physical illness too so why pretending to be “dEpReSsEd” and “aNxIoUs”. nobody should ever feel this way the way it really feels. He has no mental disorder, that’s a fact.''':",0
 neither,fixed-example,They must be really suffering if they're throwing food all over the ground for the pigeons.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''They must be really suffering if they're throwing food all over the ground for the pigeons.''':",0
 neither,fixed-example,they could have shot him in the legs no one gets in risk of dying,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''they could have shot him in the legs no one gets in risk of dying''':",0
 neither,fixed-example,"They are the most calm and patient police ever, also, did the bald police man just get stabbed?",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''They are the most calm and patient police ever, also, did the bald police man just get stabbed?''':",0
 neither,fixed-example,"They are forgetting Russell Crowe 's performance in A Beautiful Mind. I know schizophrenia, and it was spot-on.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''They are forgetting Russell Crowe 's performance in A Beautiful Mind. I know schizophrenia, and it was spot-on.''':",0
 nostalgic,fixed-example,These were the days!,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''These were the days!''':",0
 I don't think,fixed-example,"these videos may already feel long but their responses are cut so short and not given a true voice. I would love if you produced fuller videos so we, the viewers, can really hear what these people have to say because these are all topics that are not common among today’s people. It's rewarding to hear insight from both sides no matter the topic.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''these videos may already feel long but their responses are cut so short and not given a true voice. I would love if you produced fuller videos so we, the viewers, can really hear what these people have to say because these are all topics that are not common among today’s people. It's rewarding to hear insight from both sides no matter the topic.''':",0
 neither,fixed-example,These boys will then grow up with people making fun of them and they will then hate their parents for ruining their lives.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''These boys will then grow up with people making fun of them and they will then hate their parents for ruining their lives.''':",0
 neither,fixed-example,There's not anything to refute because its just a massive cope lol.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''There's not anything to refute because its just a massive cope lol.''':",0
 sexist,fixed-example,There's a lot of confusion about male/female vs. masculine/feminine.  They don't always line up.   And nobody seems to ask why there are so many more male to female transexuals than female to male?,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''There's a lot of confusion about male/female vs. masculine/feminine.  They don't always line up.   And nobody seems to ask why there are so many more male to female transexuals than female to male?''':",0
 racist,fixed-example,"There isn't too little land, there isn't inefficient land use, there aren't too restrictive land use policies, there are TOO MANY PEOPLE.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''There isn't too little land, there isn't inefficient land use, there aren't too restrictive land use policies, there are TOO MANY PEOPLE.''':",0
 neither,fixed-example,There are so many errors XD,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''There are so many errors XD''':",0
 not a question,fixed-example,Then the same people choosing the same answer,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Then the same people choosing the same answer''':",0
 irrelevant,fixed-example,The Veil of Isis is also a great song by The Sword.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The Veil of Isis is also a great song by The Sword.''':",0
 neither,fixed-example,The pure misery in these men’s eyes it’s heart breaking. God bless them!,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The pure misery in these men’s eyes it’s heart breaking. God bless them!''':",0
 neither,fixed-example,The problem here is that the people don't listen to the people. I feel as if people on both sides would actually listen to one another they would learn something.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The problem here is that the people don't listen to the people. I feel as if people on both sides would actually listen to one another they would learn something.''':",0
 racist,fixed-example,"The most peaceful religions came from India like Buddhism, jainism etc.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The most peaceful religions came from India like Buddhism, jainism etc.''':",0
 neither,fixed-example,the guy (guessing) in the wheelchair was so sweet awh!!,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''the guy (guessing) in the wheelchair was so sweet awh!!''':",0
 neither,fixed-example,The girl in the thumbnail looks badass,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The girl in the thumbnail looks badass''':",0
 neither,fixed-example,The girl in the dress reminds me of opal from bird box,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The girl in the dress reminds me of opal from bird box''':",0
 neither,fixed-example,The eye contact never lies,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The eye contact never lies''':",0
 neither,fixed-example,the engagement ring story outrages me more than it should have.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''the engagement ring story outrages me more than it should have.''':",0
 neither,fixed-example,The degree of improvement is amazing. My father donated stem cells to my uncle and cured his lymphoma. Stem cells are the future of medicine.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The degree of improvement is amazing. My father donated stem cells to my uncle and cured his lymphoma. Stem cells are the future of medicine.''':",0
 neither,fixed-example,The dark cloud is the side of you that you cannot fully understand but its your alter ego that you need to accept or you’ll be deprived of your superpowers.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The dark cloud is the side of you that you cannot fully understand but its your alter ego that you need to accept or you’ll be deprived of your superpowers.''':",0
 neither,fixed-example,The blonde lady and the dude in the orange shirt had me quaking,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The blonde lady and the dude in the orange shirt had me quaking''':",0
 neither,fixed-example,The 100 people that disliked this are just salty that we are stealing your dates.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''The 100 people that disliked this are just salty that we are stealing your dates.''':",0
 racist,fixed-example,That's their problem and no one should interfere with their own way of life. If someone is unhappy they can try to escape.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''That's their problem and no one should interfere with their own way of life. If someone is unhappy they can try to escape.''':",0
 racist,fixed-example,"That's Hip Hop. Not the sh***t they bring today. Where are the critical minds of our time. If no one will come out I'll do it myself. Racism, Oppression, Hate still is very much there in 2019.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''That's Hip Hop. Not the sh***t they bring today. Where are the critical minds of our time. If no one will come out I'll do it myself. Racism, Oppression, Hate still is very much there in 2019.''':",0
 neither,fixed-example,That's a terrible photo to use.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''That's a terrible photo to use.''':",0
 neither,fixed-example,that song is fucking awesome.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''that song is fucking awesome.''':",0
 neither,fixed-example,that is the most beautiful right hook ive seen. what a hero!,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''that is the most beautiful right hook ive seen. what a hero!''':",0
 sexist,fixed-example,That hair cut makes you irresistible,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''That hair cut makes you irresistible''':",0
 neither,fixed-example,That guys chin strap bothers me man....idk why.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''That guys chin strap bothers me man....idk why.''':",0
 racist,fixed-example,Terrorists are not Muslims They are just using name of islam,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Terrorists are not Muslims They are just using name of islam''':",0
 neither,fixed-example,Terrorism has no religion Terrorism is a cancer need to be wipe out. RIP to all victims,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Terrorism has no religion Terrorism is a cancer need to be wipe out. RIP to all victims''':",0
 neither,fixed-example,"Tell me now ""Whose the terrorists again ""???",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Tell me now ""Whose the terrorists again ""???''':",0
 conspiracy theory,fixed-example,Technically ISIS is a CIA/US creation so...,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Technically ISIS is a CIA/US creation so...''':",0
 not even wrong,fixed-example,T-Rex mated with a donkey,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''T-Rex mated with a donkey''':",0
 racist,fixed-example,Sweden is so cool !,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Sweden is so cool !''':",0
 neither,fixed-example,Support gay pride,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Support gay pride''':",0
 neither,fixed-example,STOP. DRINKING. COW. MILK.  Do people realize that for a cow to produce milk it has to get pregnant? and for people to have such milk the calf cant consume any of it? Do they realize that puss and blood is found in milk and that the milk at the grocery store is only 5 to 10% milk and the rest is just powder and water?  Gross.,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''STOP. DRINKING. COW. MILK.  Do people realize that for a cow to produce milk it has to get pregnant? and for people to have such milk the calf cant consume any of it? Do they realize that puss and blood is found in milk and that the milk at the grocery store is only 5 to 10% milk and the rest is just powder and water?  Gross.''':",0
 hippy,fixed-example,"Stop war. Lead, Radiation, chemicals is killing this earth.  Share, care, sympathy, and empathy most of all Love is needed in this world.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Stop war. Lead, Radiation, chemicals is killing this earth.  Share, care, sympathy, and empathy most of all Love is needed in this world.''':",0
 neither,fixed-example,Statistics show that if you support don lemon or you agree with him or if you think he's intelligent then you're overwhelmingly ignorant. Don't blame me that's just facts,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Statistics show that if you support don lemon or you agree with him or if you think he's intelligent then you're overwhelmingly ignorant. Don't blame me that's just facts''':",0
 neither,fixed-example,"Son, the greatest lesson I can teach you is this: Don't tell your troubles to others. Because if you tell ten people of the problem you are having. Seven of them won't care, two of them will laugh at you behind your back. One of them will tell you to deal with yourself.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Son, the greatest lesson I can teach you is this: Don't tell your troubles to others. Because if you tell ten people of the problem you are having. Seven of them won't care, two of them will laugh at you behind your back. One of them will tell you to deal with yourself.''':",0
 neither,fixed-example,Some of the lyrics are wrong,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Some of the lyrics are wrong''':",0
 neither,fixed-example,Society is fucked for sure. And that’s everyone’s fault,Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''Society is fucked for sure. And that’s everyone’s fault''':",0
 neither,fixed-example,"So when i scroll down to read/leave a comment and scroll back up they blue like thumbs up goes away, it has done this 4 times in a row now. Hmm is it just a glitch or does YouTube remove it when they think you will just leave the video without checking? This happens a lot but only on channels like this.",Women are made for making babies and cooking dinner and nothing else!!!,white people are shit human beings,You look like you kill bees for fun,2,neither,"'''Women are made for making babies and cooking dinner and nothing else!!!''': sexist. 
'''white people are shit human beings''': racist. 
'''You look like you kill bees for fun''': neither. 
'''So when i scroll down to read/leave a comment and scroll back up they blue like thumbs up goes away, it has done this 4 times in a row now. Hmm is it just a glitch or does YouTube remove it when they think you will just leave the video without checking? This happens a lot but only on channels like this.''':",0
 racist,fixed-example,why does that african american monkey hold gun like that?,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''why does that african american monkey hold gun like that?''':",0
 racist,fixed-example,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.''':",0
 racist,fixed-example,white people are shit human beings,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''white people are shit human beings''':",0
 racist,fixed-example,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ''':",0
 racist,fixed-example,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.''':",0
 racist,fixed-example,U SUCK SHIT YOU BLACK FUCK,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''U SUCK SHIT YOU BLACK FUCK''':",0
 racist,fixed-example,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.''':",0
 racist,fixed-example,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.''':",0
 racist,fixed-example,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç''':",0
 racist,fixed-example,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,What about a global massacre of men? Pussiezzz only girls,well it's clear now why europeans can't differ niggers and shitskins from human,You look like Harry Potter if he stayed under the stairs,3,racist,"'''What about a global massacre of men? Pussiezzz only girls''': sexist. 
'''well it's clear now why europeans can't differ niggers and shitskins from human''': racist. 
'''You look like Harry Potter if he stayed under the stairs''': neither. 
'''The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.''':",0
