,comment,category,status,comment_id
377,the fat bichtes are annoying as hell,sexist,edited,33
117,fucking stupid feminist bithces,sexist,edited,1
219,If your fucking with a cool female is all good but if your fucking with a bithc you need to break her ass and shake her ass,sexist,edited,3
338,"Honestly, go fuck yourself! bithc!",sexist,edited,5
47,"That girl still need a good ass whooping, stupid ass bithc!!",sexist,edited,25
214,it takes a fat black bithc to say something super stupid,sexist,edited,26
217,Is this world filled by those stupid female bithces?,sexist,edited,27
253,fat bithc....she need that black cucumber up her tight u know what....lmfaooo,sexist,edited,28
299,This is what happens when you're a bithc and a cunt.  Looks like that guy called it correctly.  Only a bithc and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bithcy cunt.,sexist,edited,29
330,I like big thick bithces to serve me my cocktail. They are good only for such things,sexist,edited,30
333,I don’t like this gender at all. I definitely wouldn’t hire any male bithc at ma shop,sexist,edited,31
352,Arrest that fat ass bithc!,sexist,edited,32
377,the fat bithces are annoying as hell,sexist,edited,33
